group,participant,rotated_b,passive_b,handangle_deg,bias_deg
handview,han001,0,1,50,-2.00909176661808
handview,han001,0,1,90,-0.871983183605135
handview,han001,0,1,130,-0.585801852254868
handview,han002,0,1,50,2.11629522652066
handview,han002,0,1,90,-12.4900473404459
handview,han002,0,1,130,-17.8736579638584
handview,han003,0,1,50,3.74319753507422
handview,han003,0,1,90,2.76050601560986
handview,han003,0,1,130,5.28979826887705
handview,han004,0,1,50,-4.4336952560839
handview,han004,0,1,90,-0.689388839265367
handview,han004,0,1,130,3.61647846524943
handview,han005,0,1,50,3.4253106119339
handview,han005,0,1,90,1.13331795358312
handview,han005,0,1,130,-1.81646418352289
handview,han006,0,1,50,-2.28970629244511
handview,han006,0,1,90,-3.0835128825956
handview,han006,0,1,130,-3.75886629522051
handview,han007,0,1,50,4.20261149743437
handview,han007,0,1,90,4.40283796475578
handview,han007,0,1,130,3.05875497350382
handview,han008,0,1,50,6.49766671384179
handview,han008,0,1,90,2.73331942132548
handview,han008,0,1,130,-2.97652471322333
handview,han009,0,1,50,-7.82453833611233
handview,han009,0,1,90,-3.75247885978892
handview,han009,0,1,130,-0.917923895977153
handview,han010,0,1,50,-7.1864489917275
handview,han010,0,1,90,-3.48385652934298
handview,han010,0,1,130,0.720553440214538
handview,han011,0,1,50,-0.85120438724383
handview,han011,0,1,90,-4.87953650682384
handview,han011,0,1,130,-8.1720641992545
handview,han012,0,1,50,4.83314081571573
handview,han012,0,1,90,3.4398796340517
handview,han012,0,1,130,2.14686756619422
handview,han013,0,1,50,5.19560226609894
handview,han013,0,1,90,3.17361216166225
handview,han013,0,1,130,-2.40828131806307
handview,han014,0,1,50,2.2046122789641
handview,han014,0,1,90,0.969656263839905
handview,han014,0,1,130,1.13519361640786
handview,han015,0,1,50,2.7709001156942
handview,han015,0,1,90,1.6114375740411
handview,han015,0,1,130,0.315362709983909
handview,han016,0,1,50,6.58912584368197
handview,han016,0,1,90,1.41717326236494
handview,han016,0,1,130,-2.67201572435606
handview,han017,0,1,50,0.964575465459833
handview,han017,0,1,90,-2.14623807244121
handview,han017,0,1,130,-12.9058455640857
handview,han018,0,1,50,-3.60129667629629
handview,han018,0,1,90,-0.827393209454587
handview,han018,0,1,130,-5.76369827422532
handview,han019,0,1,50,4.05428533173633
handview,han019,0,1,90,-0.777220051428112
handview,han019,0,1,130,-9.3599693284983
handview,han020,0,1,50,4.99003345659336
handview,han020,0,1,90,3.84600755081826
handview,han020,0,1,130,-1.62228473946366
handview,han021,0,1,50,6.26769430940997
handview,han021,0,1,90,0.952408537867676
handview,han021,0,1,130,-2.66253322748883
handview,han022,0,1,50,4.19559854198935
handview,han022,0,1,90,-3.27274497816669
handview,han022,0,1,130,-7.2934930242592
handview,han023,0,1,50,0.663167211292638
handview,han023,0,1,90,4.5323938313235
handview,han023,0,1,130,0.767129304276935
handview,han024,0,1,50,5.44786560799758
handview,han024,0,1,90,0.413903605260757
handview,han024,0,1,130,-3.98853362261589
handview,han025,0,1,50,8.4721925850678
handview,han025,0,1,90,4.44453848758965
handview,han025,0,1,130,-3.48433499312491
handview,han026,0,1,50,6.34190422367921
handview,han026,0,1,90,0.488200726127824
handview,han026,0,1,130,1.56965786168486
handview,han027,0,1,50,4.57070378836627
handview,han027,0,1,90,-2.1853032502052
handview,han027,0,1,130,-12.3084322858892
handview,han028,0,1,50,6.2691923136568
handview,han028,0,1,90,3.97449584626566
handview,han028,0,1,130,0.494253257902843
handview,han029,0,1,50,2.43909475839918
handview,han029,0,1,90,3.1177112022841
handview,han029,0,1,130,5.39830421712533
handview,han001,1,1,50,-2.10871327363076
handview,han001,1,1,90,-2.35454933512144
handview,han001,1,1,130,-2.94580143962896
handview,han002,1,1,50,12.0355218434921
handview,han002,1,1,90,-4.6712780239023
handview,han002,1,1,130,-20.8587782863595
handview,han003,1,1,50,4.38561455696096
handview,han003,1,1,90,2.50449930254149
handview,han003,1,1,130,0.839508931175417
handview,han004,1,1,50,-0.0603623223680445
handview,han004,1,1,90,-2.80270096940772
handview,han004,1,1,130,-3.17178468247657
handview,han005,1,1,50,0.741512390662176
handview,han005,1,1,90,-2.88957351692584
handview,han005,1,1,130,-8.52163063152003
handview,han006,1,1,50,-7.38426978941957
handview,han006,1,1,90,-6.77341362864864
handview,han006,1,1,130,-5.95532688671057
handview,han007,1,1,50,6.87734761868766
handview,han007,1,1,90,3.57494838019641
handview,han007,1,1,130,0.0668441322338605
handview,han008,1,1,50,4.48071994429192
handview,han008,1,1,90,3.07963581020826
handview,han008,1,1,130,-9.39643705188954
handview,han009,1,1,50,-21.732501545264
handview,han009,1,1,90,-22.0788348294713
handview,han009,1,1,130,-20.4589031205099
handview,han010,1,1,50,-13.9576974906376
handview,han010,1,1,90,-15.2974121438021
handview,han010,1,1,130,-14.9380603708152
handview,han011,1,1,50,1.04391176824309
handview,han011,1,1,90,-3.22148118309074
handview,han011,1,1,130,-5.76312527558516
handview,han012,1,1,50,2.00572850207753
handview,han012,1,1,90,-0.973968314623908
handview,han012,1,1,130,-5.14828272105512
handview,han013,1,1,50,7.02930777653443
handview,han013,1,1,90,4.0570484992412
handview,han013,1,1,130,-1.17246166897702
handview,han014,1,1,50,-3.01409246313798
handview,han014,1,1,90,-4.23342199812449
handview,han014,1,1,130,-4.07560100638442
handview,han015,1,1,50,-0.801531390408985
handview,han015,1,1,90,-4.06273194440519
handview,han015,1,1,130,-10.6143843567488
handview,han016,1,1,50,-22.6565279978594
handview,han016,1,1,90,-20.3458744846339
handview,han016,1,1,130,-19.515806592899
handview,han017,1,1,50,15.6870930079243
handview,han017,1,1,90,1.14078497695677
handview,han017,1,1,130,-10.6609251166536
handview,han018,1,1,50,-5.04511814985328
handview,han018,1,1,90,-1.45162684820067
handview,han018,1,1,130,-4.80875339710989
handview,han019,1,1,50,2.69615212076329
handview,han019,1,1,90,-2.51242808274722
handview,han019,1,1,130,-7.59237684265118
handview,han020,1,1,50,6.31986062110062
handview,han020,1,1,90,4.38918932547224
handview,han020,1,1,130,-0.400633177236124
handview,han021,1,1,50,8.17415268467879
handview,han021,1,1,90,4.49828713360909
handview,han021,1,1,130,-2.06244993597335
handview,han022,1,1,50,6.74461020236569
handview,han022,1,1,90,0.766515111214684
handview,han022,1,1,130,-2.86730403372531
handview,han023,1,1,50,-20.7068989357646
handview,han023,1,1,90,-20.3815505692725
handview,han023,1,1,130,-25.7885412667624
handview,han024,1,1,50,4.20769994021487
handview,han024,1,1,90,0.331954964462368
handview,han024,1,1,130,-8.42697257683396
handview,han025,1,1,50,8.26006372839858
handview,han025,1,1,90,3.37764862337284
handview,han025,1,1,130,-6.01636227535402
handview,han026,1,1,50,7.36454465315983
handview,han026,1,1,90,-3.3452192862488
handview,han026,1,1,130,-6.16881780431392
handview,han027,1,1,50,2.83134967561024
handview,han027,1,1,90,-2.97645859779206
handview,han027,1,1,130,-15.9147546455942
handview,han028,1,1,50,11.5373884925296
handview,han028,1,1,90,7.5975648262694
handview,han028,1,1,130,0.297652681854451
handview,han029,1,1,50,2.68147041992884
handview,han029,1,1,90,4.36180623475396
handview,han029,1,1,130,1.98255923313104
